Algoritmo: BozoSort
Teste,Tamanho,Aleatorio,Crescente,Decrescente,Quase
1,4,000016,000028,000030,000027
2,8,021530,010332,009478,006748
3,10,433700,1653804,462572,635920
4,12,184278422,111882734,39549219,28554683
